factor,group,metric,reference,candidate,n_common_clusters,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,n_clusters_improved,n_clusters_worsened,fraction_clusters_improved,weighted_mean_diff_by_n_samples,weighted_mean_diff_by_n_residues
substitution_size_group,large_to_small,non_local_f1,shell_mean,base_v5,75,0.17553739194031587,0.0,0.10285461889063721,0.2542255055871168,5.5328035224305544e-05,21,0,0.28,0.5172653764581124,0.5463928274626647
substitution_size_group,large_to_small,non_local_recall,shell_mean,base_v5,70,0.20658532176446778,0.0,0.12392136108401854,0.29703676621363795,4.7934175237965156e-05,21,0,0.3,0.5332581736189402,0.5585120059310477
substitution_size_group,size_neutral,global_mae,shell_mean,base_v5,2,-0.21734725233541316,-0.21734725233541316,,,,2,0,1.0,-0.24440221694719433,-0.24100395816284967
substitution_size_group,size_neutral,shell_mae,shell_mean,base_v5,2,-0.12690669860926818,-0.12690669860926818,,,,1,1,0.5,-0.2596453420050918,-0.24297260680049912
substitution_size_group,size_neutral,mae_shell_0,shell_mean,base_v5,2,-0.166557086010774,-0.166557086010774,,,,1,1,0.5,-0.4292303583560846,-0.3962370882495211
substitution_size_group,size_neutral,mae_shell_1,shell_mean,base_v5,2,-0.09618745115278077,-0.09618745115278077,,,,1,1,0.5,-0.2324166502746786,-0.2153054812436668
substitution_size_group,size_neutral,mae_shell_2,shell_mean,base_v5,2,-0.049969476049232714,-0.049969476049232714,,,,1,1,0.5,-0.19332807629858204,-0.1753214135806952
substitution_size_group,size_neutral,mae_shell_3,shell_mean,base_v5,2,-0.09117230943906478,-0.09117230943906478,,,,1,1,0.5,-0.1836794600499258,-0.17206003116916635
substitution_size_group,size_neutral,mae_shell_4,shell_mean,base_v5,2,-0.2306471703944884,-0.2306471703944884,,,,2,0,1.0,-0.25957216504618796,-0.2559390197594461
substitution_size_group,size_neutral,perturbed_auroc,shell_mean,base_v5,2,0.29086047470270776,0.29086047470270776,,,,2,0,1.0,0.14588427056619394,0.18133505557768864
substitution_size_group,size_neutral,perturbed_auprc,shell_mean,base_v5,2,0.5326592565906774,0.5326592565906774,,,,2,0,1.0,0.20184564034992475,0.28273893217030505
substitution_size_group,size_neutral,radius_mae,shell_mean,base_v5,2,-28.413480758666992,-28.413480758666992,,,,1,0,0.5,-4.371304732102614,-7.391139984130859
substitution_size_group,size_neutral,class_correct,shell_mean,base_v5,2,0.5,0.5,,,,1,0,0.5,0.07692307692307693,0.1300639658848614
substitution_size_group,size_neutral,class_macro_f1,shell_mean,base_v5,2,0.16666666666666666,0.16666666666666666,,,,1,0,0.5,0.02564102564102564,0.0433546552949538
substitution_size_group,size_neutral,non_local_f1,shell_mean,base_v5,2,0.5,0.5,,,,1,0,0.5,0.07692307692307693,0.1300639658848614
substitution_size_group,size_neutral,non_local_recall,shell_mean,base_v5,2,0.5,0.5,,,,1,0,0.5,0.14285714285714285,0.23018867924528302
charge_group,neutral_to_neutral,global_mae,shell_mean,base_v5,57,-0.12016181461696507,-0.14662082530177367,-0.16432429177700555,-0.07568101175607385,1.2208151806299628e-05,41,16,0.7192982456140351,0.02374467262646625,0.018672350969453612
charge_group,neutral_to_neutral,shell_mae,shell_mean,base_v5,57,-0.11418253601345056,-0.1365614420845445,-0.16411392282818058,-0.06300208189846322,0.00014365906371302395,43,14,0.7543859649122807,-0.04448474451738604,-0.052887793422579425
charge_group,neutral_to_neutral,mae_shell_0,shell_mean,base_v5,57,-0.18916440992107092,-0.2200730758825019,-0.28718743362847565,-0.09153988482353038,0.0007883575096604025,41,16,0.7192982456140351,-0.19697974419255104,-0.21493251259315904
charge_group,neutral_to_neutral,mae_shell_1,shell_mean,base_v5,57,-0.09423304751630716,-0.09762416776907085,-0.14842646908900617,-0.039805039657014346,0.001970395896052341,41,16,0.7192982456140351,-0.07746801379094236,-0.08680481491909656
charge_group,neutral_to_neutral,mae_shell_2,shell_mean,base_v5,57,-0.08692081649455402,-0.11589263110996154,-0.130292027423923,-0.04217482132415635,0.000572650799144432,38,19,0.6666666666666666,-0.0033052676137242457,-0.008801199624332751
charge_group,neutral_to_neutral,mae_shell_3,shell_mean,base_v5,57,-0.06880772179591205,-0.09363859436817085,-0.10800334044323225,-0.028295553150836657,0.002023826602190713,37,20,0.6491228070175439,0.017777735730916202,0.013548356336726401
charge_group,neutral_to_neutral,mae_shell_4,shell_mean,base_v5,57,-0.13178668433940854,-0.15108415167454908,-0.17779400445585675,-0.08619898085778578,6.7647114987346586e-06,42,15,0.7368421052631579,0.03755156727937128,0.03255120368696492
charge_group,neutral_to_neutral,perturbed_auroc,shell_mean,base_v5,53,0.2690646046941418,0.2800992667778662,0.2206529903139071,0.313929459452602,4.997630211981767e-09,49,4,0.9245283018867925,0.24927199714785198,0.24939039350606335
charge_group,neutral_to_neutral,perturbed_auprc,shell_mean,base_v5,53,0.25716356863099643,0.2460981773683652,0.19939177243571254,0.31898802279899424,2.624931950143359e-09,50,3,0.9433962264150944,0.21625656657690573,0.2149343807201846
charge_group,neutral_to_neutral,radius_mae,shell_mean,base_v5,57,-13.09204815643956,0.0,-20.76174639057036,-6.623706947440695,7.152557373046875e-07,22,1,0.38596491228070173,-20.157660096145687,-20.707811314857565
charge_group,neutral_to_neutral,class_correct,shell_mean,base_v5,57,0.1911975078369917,0.0,0.07083054739982135,0.3134996918531371,0.0048823583727634085,18,5,0.3157894736842105,0.5398431833097302,0.5499472693848522
charge_group,neutral_to_neutral,class_macro_f1,shell_mean,base_v5,57,0.06373250261233054,0.0,0.02361018246660711,0.10449989728437903,0.0055568967646175225,18,5,0.3157894736842105,0.17994772776991003,0.18331575646161735
charge_group,neutral_to_neutral,non_local_f1,shell_mean,base_v5,57,0.23979945144079276,0.0,0.13909132174720396,0.3458256255739028,0.00010086638641003706,19,0,0.3333333333333333,0.5425373907637042,0.5525061966739794
charge_group,neutral_to_neutral,non_local_recall,shell_mean,base_v5,53,0.26318525448063795,0.0,0.15613341821898924,0.3813089115009259,9.188124469507763e-05,19,0,0.3584905660377358,0.5472822299651567,0.5573920193271866
charge_group,neutral_to_charged,global_mae,shell_mean,base_v5,9,-0.035987434854983534,-0.0127136630772271,-0.14285057540868448,0.07304042594578947,0.5703125,5,4,0.5555555555555556,-0.03400011762086393,0.01518443687893991
charge_group,neutral_to_charged,shell_mae,shell_mean,base_v5,9,0.008447189544940524,0.03668732306489836,-0.0951469388553869,0.10868202584717598,1.0,4,5,0.4444444444444444,-0.025218423657188495,0.015732909126505913
charge_group,neutral_to_charged,mae_shell_0,shell_mean,base_v5,9,0.057719908506407146,0.08981360353174667,-0.08695677882456948,0.21474257164344152,0.65234375,3,6,0.3333333333333333,-0.051637975635024876,0.0005513058845854743
charge_group,neutral_to_charged,mae_shell_1,shell_mean,base_v5,9,0.04634118990812102,0.020834472306348717,-0.04855886893617945,0.14329682201471058,0.42578125,4,5,0.4444444444444444,0.009891044326693823,0.03466021604833416
charge_group,neutral_to_charged,mae_shell_2,shell_mean,base_v5,9,0.008641216119392107,0.013422620961130699,-0.08527676031940229,0.1024045039799041,0.8203125,4,5,0.4444444444444444,-0.014083309889854052,0.01856097090011432
charge_group,neutral_to_charged,mae_shell_3,shell_mean,base_v5,9,-0.02152020704754619,0.037080329856193806,-0.11897447852916307,0.07914052971846879,0.8203125,4,5,0.4444444444444444,-0.03392236377348849,0.008943402068698208
charge_group,neutral_to_charged,mae_shell_4,shell_mean,base_v5,9,-0.048946159761671146,-0.04221545730906845,-0.16599185435517408,0.06941216475963619,0.5703125,5,4,0.5555555555555556,-0.03633951331426849,0.015948650730797757
charge_group,neutral_to_charged,perturbed_auroc,shell_mean,base_v5,9,0.29030618598614333,0.2763449138691566,0.20010843446256496,0.3858398563713732,0.00390625,9,0,1.0,0.34152588203551926,0.3289183078911577
charge_group,neutral_to_charged,perturbed_auprc,shell_mean,base_v5,9,0.27230807819542846,0.21261839844116992,0.16874315396234912,0.38528518587095173,0.00390625,9,0,1.0,0.22990417855748344,0.21750922693710445
charge_group,neutral_to_charged,radius_mae,shell_mean,base_v5,9,-3.3988351821899414,0.0,-10.196505546569824,0.0,,1,0,0.1111111111111111,-0.030316666639949922,-0.04480860666703968
charge_group,neutral_to_charged,class_correct,shell_mean,base_v5,9,0.1111111111111111,0.0,0.0,0.3333333333333333,,1,0,0.1111111111111111,0.0009910802775024777,0.0014648353942563394
charge_group,neutral_to_charged,class_macro_f1,shell_mean,base_v5,9,0.037037037037037035,0.0,0.0,0.1111111111111111,,1,0,0.1111111111111111,0.0003303600925008259,0.0004882784647521131
charge_group,neutral_to_charged,non_local_f1,shell_mean,base_v5,9,0.1111111111111111,0.0,0.0,0.3333333333333333,,1,0,0.1111111111111111,0.0009910802775024777,0.0014648353942563394
charge_group,neutral_to_charged,non_local_recall,shell_mean,base_v5,9,0.1111111111111111,0.0,0.0,0.3333333333333333,,1,0,0.1111111111111111,0.00099626400996264,0.001470399618887077
charge_group,charged_to_neutral,global_mae,shell_mean,base_v5,52,-0.16820363803958072,-0.1813998766480116,-0.20758450257334704,-0.12715019913622205,4.4183875089568106e-08,45,7,0.8653846153846154,-0.04598392068985945,-0.057079875277420845
