model_name,factor,group,metric,sample_mean,cluster_mean,sample_weighted_cluster_mean,residue_weighted_cluster_mean,n_samples,n_clusters,n_residues,n_valid_samples,bootstrap_ci_low,bootstrap_ci_high
MuSRNet,glypro_group,gly_or_pro_involved,mae_shell_1,0.20690518543908135,0.23064650246247018,0.20690518543908135,0.20152521530317594,5228,11,1285877,5228,0.12460996873785704,0.39837666265742416
MuSRNet,glypro_group,gly_or_pro_involved,mae_shell_2,0.21695554578290874,0.15938817101545216,0.21695554578290874,0.22659340109050202,5228,11,1285877,5228,0.12712247843751656,0.19684305125677976
MuSRNet,glypro_group,gly_or_pro_involved,mae_shell_3,0.28745512671210655,0.17685041402881124,0.2874551267121066,0.2889632597379861,5228,11,1285877,5228,0.14089611463239213,0.21893343016964856
MuSRNet,glypro_group,gly_or_pro_involved,mae_shell_4,0.38896089912457343,0.21577641784148807,0.3889608991245735,0.42385192849192027,5228,11,1285877,5228,0.1584187929790842,0.28776416650686837
MuSRNet,glypro_group,gly_or_pro_involved,perturbed_auroc,0.8414010652406231,0.8858671711184551,0.841401065240623,0.831351353109546,5228,11,1285877,5177,0.8512311435269455,0.920590768928597
MuSRNet,glypro_group,gly_or_pro_involved,perturbed_auprc,0.3726068002672563,0.39946557641095476,0.3726068002672563,0.3873145420147381,5228,11,1285877,5177,0.29531827886893774,0.5116741496376954
MuSRNet,glypro_group,gly_or_pro_involved,radius_mae,39.03957614414365,28.60039087246239,39.03957614414365,41.84547243829287,5228,11,1285877,5228,20.96977483358987,36.406639718544106
MuSRNet,glypro_group,gly_or_pro_involved,class_correct,0.06981637337413925,0.2415008508015188,0.06981637337413925,0.0588500627249507,5228,11,1285877,5228,0.09820318168095397,0.3991222559356627
MuSRNet,glypro_group,gly_or_pro_involved,class_macro_f1,0.02327212445804642,0.08050028360050625,0.023272124458046415,0.019616687574983565,5228,11,1285877,5228,0.03273439389365132,0.13304075197855422
MuSRNet,glypro_group,gly_or_pro_involved,non_local_f1,0.06006120887528692,0.0670701005105809,0.06006120887528692,0.04783360645651236,5228,11,1285877,5228,0.0,0.20050383738479816
